Disease Name, Causes, Precautions,Disease,Symptoms
Cholera, Ingestion of contaminated water or food           ,"Safe drinking water, hygiene, vaccination",Cholera," Diarrhea, dehydration, muscle cramps"
Peptic Ulcer Disease," Bacterial infection (H. pylori), NSAIDs                  ","Medications, avoid NSAIDs, dietary changes",Peptic Ulcer Disease," Abdominal pain, bloating, nausea"
Urinary Tract Infection (UTI), Bacterial infection of the urinary tract                  ,"Stay Hydrated,practice good hygiene",Urinary Tract Infection (UTI),"  Painful urination, frequent urge to urinate"
Kidney Stones, Mineral buildup in the kidneys                               ,"Stay hydrated, dietary changes, medical treatment",Kidney Stones," Severe pain in the side and back, blood in urine"
Gout, Buildup of uric acid in joints," Medications, lifestyle changes, dietary ch",Gout," Joint pain, swelling, redness"
Appendicitis, Inflammation of the appendix," Prompt medical attention, surgery",Appendicitis," Abdominal pain, nausea, vomiting"
Gallstones, Hardened deposits in the gallbladder                  ,"Healthy diet, weight management",Gallstones," Abdominal pain, back pain, nausea"
Varicose Veins," Weakening of vein valves, genetic factors          ","leg elevation, compression stockings",Varicose Veins," Swollen, twisted veins, leg pain"
Osteoporosis," Loss of bone density, hormonal changes             ","Calcium,vitamin D, exercise",Osteoporosis," Fractures, loss of height over time"
Eczema, Genetic and environmental factors," Moisturize, avoid triggers, topical treatments",Eczema," Itchy skin, redness, inflammation"
Psoriasis, Autoimmune disorder," Topical treatments, phototherapy, medications",Psoriasis," Red, scaly patches, itching"
Acne," Excess oil production, bacteria, hormones          ","Gentle cleansing, topical treatments",Acne," Pimples, blackheads, whiteheads"
Allergies, Immune response to allergens," Avoid allergens, medications",Allergies," Sneezing, itchy eyes, skin rash"
Conjunctivitis (Pink Eye), Bacterial or viral infection                                          ,"Hygiene, avoid touching eyes, medications",Conjunctivitis (Pink Eye),"Redness, itching, discharge"
Glaucoma, Increased intraocular pressure," Regular eye check-ups, medications",Glaucoma," Eye pain, blurred vision, nausea"
Cataracts, Clouding of the eye's lens," Surgery, regular eye check-ups",Cataracts," Cloudy vision, sensitivity to light"
Alzheimer's Disease, Neurodegenerative disorder                                      ,"Cognitive stimulation, healthy lifestyle",Alzheimer's Disease," Memory loss, confusion, mood swings"
Parkinson's Disease, Neurodegenerative disorder                                      ,"Medications, physical therapy",Parkinson's Disease," Tremors, stiffness, difficulty in movement"
Stroke, Disruption of blood flow to the brain," Emergency medical attention, prevention",Stroke," Sudden numbness, confusion, trouble speaking"
Multiple Sclerosis, Autoimmune disorder affecting the CNS             ,"Medications, physical therapy",Multiple Sclerosis," Fatigue, difficulty walking, numbness"
Epilepsy, Abnormal brain activity," Medications, lifestyle management",Epilepsy," Seizures, loss of consciousness"
Meningitis, Bacterial or viral infection," Vaccination, prompt medical attention",Meningitis," Headache, fever, stiff neck"
Autism Spectrum Disorder (ASD), Genetic and environmental factors                        ," Behavioral therapy, support",Autism Spectrum Disorder (ASD),"  Social challenges, repetitive behaviors"
Attention-Deficit/Hyperactivity Disorder (ADH,D) Neurodevelopmental disorder                          ," Behavioral therapy, medications",Attention-Deficit/Hyperactivity Disorder (ADHD),"Hyperactivity Disorder)  Inattention, hyperactivity, impulsivity"
Bipolar Disorder, Neurochemical imbalance                                           ,"Medications, psychotherapy",Bipolar Disorder," Mood swings, energy shifts, sleep disturbances"
Depression," Various factors, including chemical imbalances ","Counseling, medications",Depression," Persistent sadness, loss of interest, fatigue"
Anxiety Disorders," Genetic, environmental, and brain chemistry factors ","Therapy, medications",Anxiety Disorders," Excessive worry, restlessness, panic attacks"
Schizophrenia, Neurodevelopmental and genetic factors             ," Medications,psychotherapy",Schizophrenia," Hallucinations, delusions, disorganized thinking"
Obsessive-Compulsive Disorder (OCD), Neurological and environmental factors                ," Therapy, medications",Obsessive-Compulsive Disorder (OCD),"Obsessions, compulsions, anxiety"
"Eating Disorders (e.g., Anorexia, Bulimia)", Psychological and societal factors                              ,"Therapy, nutritional counseling","Eating Disorders (e.g., Anorexia, Bulimia)"," Disordered eating patterns, body image concerns"
Sleep Disorders," Various factors, including lifestyle and medical conditions ","Sleep hygiene, medical treatment",Sleep Disorders," Insomnia, sleep apnea, restless legs syndrome"
 Coronary Artery Disease, Buildup of plaque in coronary arteries," Healthy lifestyle, medication, heart-healthy diet",Coronary Artery Disease," Chest pain, shortness of breath, fatigue"
 Heart Failure, Weakening of the heart muscle," Medications, lifestyle changes, heart-healthy diet",Heart Failure," Fatigue, swelling, shortness of breath"
 Atherosclerosis, Hardening and narrowing of arteries," Healthy lifestyle, medication, cholesterol control",Atherosclerosis," Chest pain, leg pain, shortness of breath"
 Thalassemia, Genetic blood disorder," Blood transfusions, iron chelation therapy",Thalassemia," Fatigue, weakness, pale skin"
 Leukemia, Cancer of blood-forming tissues," Chemotherapy, bone marrow transplant          ",Leukemia," Fatigue, easy bruising, frequent infections"
 Lymphoma, Cancer of the lymphatic system," Chemotherapy, radiation therapy               ",Lymphoma," Swollen lymph nodes, weight loss, night sweats"
 Hemophilia, Genetic blood clotting disorder," Clotting factor replacement, careful handling of joints",Hemophilia," Excessive bleeding, joint pain"
 Sickle Cell Anemia, Genetic red blood cell disorder," Pain management, blood transfusions          ",Sickle Cell Anemia," Fatigue, pain crises, anemia"
 Iron-deficiency Anemia, Lack of iron in the body," Iron supplements, iron-rich diet             ",Iron-deficiency Anemia," Fatigue, weakness, pale skin"
 Cystic Fibrosis, Genetic respiratory and digestive disorder," Airway clearance techniques, medication     ",Cystic Fibrosis," Persistent cough, difficulty breathing, lung infections"
 Irritable Bowel Syndrome (IBS)                                           ,Functional gastrointestinal disorder," Dietary changes, stress management          ",Irritable Bowel Syndrome (IBS),"  Abdominal pain, bloating, changes in bowel habits"
 Crohn's Disease, Chronic inflammatory bowel disease," Medications, dietary changes, surgery        ",Crohn's Disease," Abdominal pain, diarrhea, weight loss"
 Ulcerative Colitis, Chronic inflammatory bowel disease," Medications, dietary changes, surgery        ",Ulcerative Colitis," Abdominal pain, bloody diarrhea, fatigue"
 Endometriosis, Tissue growth outside the uterus," Pain management, hormonal treatments        ",Endometriosis," Pelvic pain, painful periods, infertility"
 Polycystic Ovary Syndrome (PCOS)                                   ,Hormonal imbalance and cyst formation," Lifestyle changes, medications              ",Polycystic Ovary Syndrome (PCOS)," Irregular periods, acne, weight gain"
 Fibromyalgia, Chronic pain condition," Pain management, exercise, stress reduction",Fibromyalgia," Widespread pain, fatigue, sleep disturbances"
 Chronic Fatigue Syndrome                                                   ," Persistent, unexplained fatigue"," Symptomatic relief, lifestyle adjustments   ",Chronic Fatigue Syndrome," Persistent fatigue, muscle and joint pain, headaches"
 Thyroid Disorders, Dysfunction of the thyroid gland," Medications, hormone replacement therapy    ",Thyroid Disorders," Fatigue, weight changes, mood swings"
 Chronic Kidney Disease                                                         ,progressive loss of kidney function," Blood pressure control, dietary changes     ",Chronic Kidney Disease," Fatigue, swelling, changes in urination"
 Liver Cirrhosis, Scarring of the liver tissue," Lifestyle changes, medication",Liver Cirrhosis," Fatigue, weakness, abdominal swelling"
 Pancreatitis, Inflammation of the pancreas," Fasting, pain management, dietary changes",Pancreatitis," Abdominal pain, nausea, vomiting"
 Ovarian Cysts, Fluid-filled sacs on the ovaries," Monitoring, surgery if necessary",Ovarian Cysts," Pelvic pain, bloating, changes in menstruation"
 Polyps, Abnormal tissue growth in organs," Polypectomy, surveillance for cancer risk",Polyps," Typically asymptomatic, may cause bleeding or abdominal pain"
 Fibroids, Non-cancerous growths in the uterus," Monitoring, medication, surgery if necessary",Fibroids," Pelvic pain, heavy menstrual bleeding, frequent urination"
 Atrial Fibrillation                                                             ,Irregular heart rhythm," Medications, lifestyle changes",Atrial Fibrillation," Irregular heartbeat, palpitations, dizziness"
 Chronic Bronchitis                                                            ,inflammation of the bronchial tubes," Bronchodilators, oxygen therapy, lifestyle changes",Chronic Bronchitis," Persistent cough, shortness of breath, chest discomfort"
 Dehydration, Insufficient fluid intake," Adequate fluid consumption, electrolyte balance",Dehydration," Thirst, dark yellow urine, dry skin"
 Dementia, Neurodegenerative disorder," Supportive care, medications",Dementia," Memory loss, confusion, difficulty with daily tasks"
 Gallbladder Inflammation (Cholecystitis)              ,Inflammation of the gallbladder," Low-fat diet, medication, surgery if necessary",Gallbladder Inflammation (Cholecystitis)," Abdominal pain, nausea, vomiting"
 Hemorrhoids, Swollen blood vessels in the rectum," High-fiber diet, sitz baths, lifestyle changes",Hemorrhoids," Rectal bleeding, pain or discomfort"
 Diverticulitis, Inflammation or infection of small pouches in the colon," Antibiotics, dietary changes           ",Diverticulitis," Abdominal pain, fever, changes in bowel habits"
 Celiac Disease, Autoimmune reaction to gluten," Gluten-free diet, symptom management       ",Celiac Disease," Digestive issues, fatigue, weight loss"
 Irritant Contact Dermatitis                                          , Skin reaction to irritants," Avoidance of irritants, topical treatments",Irritant Contact Dermatitis," Redness, itching, swelling of the skin"
 Burns, Damage to skin caused by heat or chemicals," Cool running water, pain relief, medical attentiontion",Burns," Redness, blistering, pain"
 Frostbite, Freezing of skin and underlying tissues," Gradual warming, avoiding re-freezing, medical care",Frostbite," Numbness, pale or hardened skin, pain"
 Concussion, Traumatic brain injury," Rest, cognitive rest, medical supervision",Concussion," Headache, confusion, nausea"
 Anaphylaxis, Severe allergic reaction," Emergency epinephrine, medical attention",Anaphylaxis," Difficulty breathing, swelling, rapid heart rate"
 Seasonal Fever                                                                 ,Various viral infections," Hygiene, vaccination, symptom management",Seasonal Fever," Light Fever,Light Cough,Runny Nose"
Seasonal Cough,Bacterial Infections,"Practice physical distancing, especially during flu and cold seasons",,"Cough,Sneezing"
